direction,entry_px,entry_time,exit_px,exit_time,option_symbol,pnl_pct,pnl_usd,regime,score,signal_time,sl_hint,squeeze,tf_15m,tf_1h,tf_5m,ticker,trend_bonus,uvol,vix,vix_mult
CALL,1.63,2026-05-11 09:56:15,1.17,2026-05-11 09:59:12,NVDA260511C00217500,-28.2,-46.0,bull,15.2,2026-05-11 09:56:07,40.0,False,8.0,8.0,1.0,NVDA,0.0,True,18.3,0.85
CALL,1.78,2026-05-11 11:16:49,1.21,2026-05-11 12:42:48,NVDA260511C00220000,-32.0,-57.0,bull,14.9,2026-05-11 11:16:40,28.0,False,3.0,9.0,1.0,NVDA,0.0,True,18.1,0.85
CALL,0.98,2026-05-11 13:03:41,0.64,2026-05-11 13:10:53,TSLA260511C00445000,-34.7,-34.0,bull,14.4,2026-05-11 13:03:33,25.0,False,3.0,6.0,4.0,TSLA,0.0,True,18.0,0.85
CALL,1.52,2026-05-13 12:33:56,1.61,2026-05-13 12:51:33,AAPL260513C00297500,5.9,9.0,bull,20.0,2026-05-13 12:33:51,33.0,True,6.0,6.0,6.0,AAPL,0.0,True,18.1,0.85
CALL,2.01,2026-05-13 12:58:49,2.91,2026-05-13 13:33:54,AAPL260513C00297500,44.8,90.0,bull,20.5,2026-05-13 12:58:44,40.0,True,6.0,6.0,4.0,AAPL,0.0,True,18.0,0.85
CALL,0.86,2026-05-13 13:41:37,0.92,2026-05-13 13:52:12,AAPL260513C00300000,7.0,6.0,bull,20.5,2026-05-13 13:41:32,33.0,True,6.0,6.0,4.0,AAPL,0.0,True,18.0,0.85
CALL,0.61,2026-05-13 13:59:26,0.41,2026-05-13 14:27:13,AAPL260513C00300000,-32.8,-40.0,bull,19.3,2026-05-13 13:59:22,28.0,True,3.0,5.0,5.0,AAPL,0.0,True,17.9,0.85
CALL,0.25,2026-05-13 14:49:29,0.18,2026-05-13 14:52:22,AAPL260513C00300000,-28.0,-35.0,bull,18.4,2026-05-13 14:49:24,28.0,True,5.0,3.0,2.0,AAPL,0.0,True,17.8,0.85
CALL,2.34,2026-05-13 14:28:09,1.33,2026-05-13 15:25:03,NVDA260513C00225000,-43.2,-101.0,bull,14.4,2026-05-13 14:27:58,40.0,False,3.0,6.0,4.0,NVDA,0.0,True,17.8,0.85
CALL,1.24,2026-05-14 10:26:53,1.64,2026-05-14 10:40:41,SPY260514C00746000,32.3,40.0,bull,14.0,2026-05-14 10:26:39,25.0,False,5.0,5.0,1.0,SPY,1.0,True,17.9,0.85
CALL,1.92,2026-05-14 10:47:58,2.87,2026-05-14 11:18:45,SPY260514C00746000,49.5,95.0,bull,16.5,2026-05-14 10:47:46,28.0,False,6.0,6.0,4.0,SPY,1.0,True,18.0,0.85
CALL,1.49,2026-05-14 11:26:56,1.53,2026-05-14 12:15:04,SPY260514C00748000,2.7,4.0,bull,16.5,2026-05-14 11:26:43,33.0,False,6.0,6.0,4.0,SPY,1.0,True,17.9,0.85
CALL,1.07,2026-05-20 11:19:47,0.73,2026-05-20 11:30:08,SPY260520C00742000,-31.8,-34.0,bull,14.2,2026-05-20 11:19:17,25.0,False,3.0,4.0,6.0,SPY,0.0,True,17.8,0.85
CALL,1.58,2026-05-20 13:46:30,1.75,2026-05-20 14:48:44,AAPL260520C00300000,10.8,17.0,bull,14.5,2026-05-20 13:46:23,40.0,False,5.0,5.0,3.0,AAPL,0.0,True,17.6,0.85
CALL,1.45,2026-05-27 11:37:09,0.99,2026-05-27 11:46:44,AMZN260527C00270000,-31.7,-46.0,bull,14.3,2026-05-27 11:37:02,25.0,False,3.0,5.0,5.0,AMZN,0.0,True,17.0,0.85
